Customer_ID,Age,Income,Destination,Travel_Type,Enquiry_Date,Budget,Status,Age_Group,Income_Bracket
TE10001,22.0,198504.0,Ladakh,Family,2025-03-08,10000,Contacted,18-25,150K-250K
TE10002,55.0,173870.0,Kerala,Family,2025-05-14,73958,Converted,46-55,150K-250K
TE10003,49.0,233745.0,Manali,Leisure,2025-09-15,81840,New,46-55,150K-250K
TE10004,39.0,240857.0,Bali,Leisure,2025-01-20,37425,Contacted,36-45,150K-250K
TE10005,38.0,181538.0,Goa,Family,2025-11-28,137963,Contacted,36-45,150K-250K
TE10006,59.0,104052.0,Bali,Family,2025-03-04,64194,Converted,56+,100K-150K
TE10007,22.0,156984.0,Kerala,Family,2025-10-14,76688,Closed,18-25,150K-250K
TE10008,51.0,116619.0,Goa,Leisure,2025-08-13,64272,Converted,46-55,100K-150K
TE10009,27.0,163951.0,Goa,Family,2025-11-05,82145,Contacted,26-35,150K-250K
TE10010,22.0,206413.0,Bali,Leisure,2025-10-10,130785,Contacted,18-25,150K-250K
TE10011,43.0,103685.0,Dubai,Leisure,2025-07-07,171556,Contacted,36-45,100K-150K
TE10012,64.0,135337.0,Thailand,Family,2025-10-03,111097,Contacted,56+,100K-150K
TE10013,53.0,28587.0,Bali,Honeymoon,2025-05-07,123080,New,46-55,Below 30K
TE10014,54.0,188885.0,Bali,Honeymoon,2025-08-01,145075,Converted,46-55,150K-250K
TE10015,52.0,131646.0,Dubai,Business,2025-11-30,93710,Converted,46-55,100K-150K
TE10016,55.0,124653.0,Bali,Business,2025-01-31,139959,Contacted,46-55,100K-150K
TE10017,42.0,141524.0,Kashmir,Adventure,2025-05-10,112734,Closed,36-45,100K-150K
TE10018,24.0,67995.0,Goa,Honeymoon,2025-01-07,90040,Converted,18-25,60K-100K
TE10019,58.0,156729.0,Dubai,Leisure,2025-07-14,97262,Contacted,56+,150K-250K
TE10020,39.0,190888.0,Manali,Business,2025-10-12,21250,New,36-45,150K-250K
TE10021,42.0,99125.0,Paris,Adventure,2025-01-15,95224,New,36-45,60K-100K
TE10022,35.0,48428.0,Bali,Honeymoon,2025-07-19,30969,Contacted,26-35,30K-60K
TE10023,26.0,107746.0,Jaipur,Business,2025-06-01,28116,Contacted,26-35,100K-150K
TE10024,62.0,64071.0,Kerala,Honeymoon,2025-10-12,91751,New,56+,60K-100K
TE10025,55.0,104754.0,Dubai,Business,2025-03-22,46007,New,46-55,100K-150K
TE10026,48.0,163424.0,Manali,Leisure,2025-03-01,84751,New,46-55,150K-250K
TE10027,37.0,44307.0,Dubai,Leisure,2025-02-04,89845,Converted,36-45,30K-60K
TE10028,57.0,191367.0,Thailand,Honeymoon,2025-05-29,91407,Converted,56+,150K-250K
TE10029,44.0,70110.0,Kerala,Family,2025-06-27,53356,Contacted,36-45,60K-100K
TE10030,39.0,225568.0,Paris,Leisure,2025-12-01,116454,New,36-45,150K-250K
TE10031,39.0,187927.0,Ladakh,Honeymoon,2025-06-19,81877,New,36-45,150K-250K
TE10032,28.0,81240.0,Goa,Leisure,2025-03-04,100438,New,26-35,60K-100K
TE10033,22.0,148669.0,Manali,Business,2025-09-12,43125,Contacted,18-25,100K-150K
TE10034,44.0,43688.0,Manali,Leisure,2025-01-23,78759,New,36-45,30K-60K
